StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-08-14
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-08-14
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-08-14
CA,35.23,"55,712.91","22,071,520.60",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-08-14
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-08-21
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-08-21
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-08-21
CA,35.23,"55,717.92","22,073,666.75",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-08-21
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-08-28
CA,92.56,"146,377.42","37,037,758.78",99.42,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-08-28
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-08-28
CA,35.21,"55,683.12","22,061,590.59",59.22,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-08-28
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-09-04
